label,City,Zip Code,Latitude,Longitude
Fresno — 93725,Fresno,93725,36.623632,-119.741322
Fresno — 93726,Fresno,93726,36.793601,-119.761131
Fresno — 93727,Fresno,93727,36.751489,-119.68072
Fresno — 93728,Fresno,93728,36.757345,-119.818274
Friant — 93626,Friant,93626,37.027663,-119.69056
Fullerton — 92831,Fullerton,92831,33.879983,-117.895482
Fullerton — 92832,Fullerton,92832,33.868316,-117.929029
Fullerton — 92833,Fullerton,92833,33.877639,-117.961212
Fullerton — 92835,Fullerton,92835,33.902211,-117.914922
Fulton — 95439,Fulton,95439,38.493888,-122.777141
Galt — 95632,Galt,95632,38.274451,-121.259201
Garberville — 95542,Garberville,95542,40.057784,-123.679461
Garden Grove — 92840,Garden Grove,92840,33.787165,-117.931889
Garden Grove — 92841,Garden Grove,92841,33.786738,-117.982564
Garden Grove — 92843,Garden Grove,92843,33.764018,-117.931507
Garden Grove — 92844,Garden Grove,92844,33.766476,-117.969795
Garden Grove — 92845,Garden Grove,92845,33.782955,-118.026456
Garden Valley — 95633,Garden Valley,95633,38.852544,-120.837669
Gardena — 90247,Gardena,90247,33.890853,-118.297967
Gardena — 90248,Gardena,90248,33.876482,-118.284077
Gardena — 90249,Gardena,90249,33.90139,-118.315697
Gasquet — 95543,Gasquet,95543,41.867908,-123.794144
Gazelle — 96034,Gazelle,96034,41.411315,-122.697236
Georgetown — 95634,Georgetown,95634,38.9386,-120.785514
Gerber — 96035,Gerber,96035,40.03194,-122.176023
Geyserville — 95441,Geyserville,95441,38.731771,-123.064272
Gilroy — 95020,Gilroy,95020,37.03889,-121.528955
Glen Ellen — 95442,Glen Ellen,95442,38.368744,-122.522642
Glencoe — 95232,Glencoe,95232,38.358464,-120.579304
Glendale — 91201,Glendale,91201,34.17051,-118.289463
Glendale — 91202,Glendale,91202,34.167926,-118.267539
Glendale — 91203,Glendale,91203,34.153338,-118.262974
Glendale — 91204,Glendale,91204,34.136306,-118.26036
Glendale — 91205,Glendale,91205,34.13658,-118.245839
Glendale — 91206,Glendale,91206,34.162515,-118.203869
Glendale — 91207,Glendale,91207,34.182378,-118.262922
Glendale — 91208,Glendale,91208,34.195386,-118.238508
Glendora — 91740,Glendora,91740,34.119363,-117.855059
Glendora — 91741,Glendora,91741,34.14649,-117.849815
Glenhaven — 95443,Glenhaven,95443,39.045246,-122.743181
Glenn — 95943,Glenn,95943,39.597975,-122.032248
Glennville — 93226,Glennville,93226,35.735694,-118.738483
Gold Run — 95717,Gold Run,95717,39.170376,-120.838404
Goleta — 93117,Goleta,93117,34.489983,-120.091246
Gonzales — 93926,Gonzales,93926,36.52588,-121.396719
Goodyears Bar — 95944,Goodyears Bar,95944,39.564113,-120.868836
Granada Hills — 91344,Granada Hills,91344,34.291273,-118.505104
Grand Terrace — 92313,Grand Terrace,92313,34.029175,-117.307211
Granite Bay — 95746,Granite Bay,95746,38.749466,-121.184196
Grass Valley — 95945,Grass Valley,95945,39.194539,-120.988066
Grass Valley — 95949,Grass Valley,95949,39.099204,-121.137962
Graton — 95444,Graton,95444,38.434362,-122.86891
Green Valley Lake — 92341,Green Valley Lake,92341,34.244411,-117.072654
Greenbrae — 94904,Greenbrae,94904,37.946617,-122.563571
Greenfield — 93927,Greenfield,93927,36.248708,-121.386617
Greenview — 96037,Greenview,96037,41.528541,-122.955018
Greenville — 95947,Greenville,95947,40.160386,-120.835428
Greenwood — 95635,Greenwood,95635,38.921333,-120.897718
Grenada — 96038,Grenada,96038,41.599978,-122.539381
Gridley — 95948,Gridley,95948,39.346898,-121.759537
Grimes — 95950,Grimes,95950,39.033058,-121.895718
Grizzly Flats — 95636,Grizzly Flats,95636,38.636102,-120.522149
Groveland — 95321,Groveland,95321,37.902968,-119.667544
Grover Beach — 93433,Grover Beach,93433,35.120833,-120.61843
Guadalupe — 93434,Guadalupe,93434,34.936,-120.594655
Gualala — 95445,Gualala,95445,38.848082,-123.50608
Guatay — 91931,Guatay,91931,32.857946,-116.561917
Guerneville — 95446,Guerneville,95446,38.52576,-123.013347
Guinda — 95637,Guinda,95637,38.830739,-122.196202
Gustine — 95322,Gustine,95322,37.147198,-121.120161
Hacienda Heights — 91745,Hacienda Heights,91745,33.998471,-117.973758
Half Moon Bay — 94019,Half Moon Bay,94019,37.45567,-122.407992
Hamilton City — 95951,Hamilton City,95951,39.732767,-122.042298
Hanford — 93230,Hanford,93230,36.29223,-119.622676
Happy Camp — 96039,Happy Camp,96039,41.831901,-123.487478
Harbor City — 90710,Harbor City,90710,33.798266,-118.300237
